circuit_id,circuit_type,num_qubits,bug_type,valid_file,buggy_file,ground_truth_file,bug_description
circuit_0012,ghz,3,structural,data/valid/circuit_0012_valid.qasm,data/buggy/circuit_0012_buggy.qasm,data/ground_truth/circuit_0012_ground_truth.qasm,Structural error: omitted cx gate at instruction index 1
circuit_0013,ghz,3,gate_redundancy,data/valid/circuit_0013_valid.qasm,data/buggy/circuit_0013_buggy.qasm,data/ground_truth/circuit_0013_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 0
circuit_0014,ghz,3,semantic_deviation,data/valid/circuit_0014_valid.qasm,data/buggy/circuit_0014_buggy.qasm,data/ground_truth/circuit_0014_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0015,ghz,4,physics_violation,data/valid/circuit_0015_valid.qasm,data/buggy/circuit_0015_buggy.qasm,data/ground_truth/circuit_0015_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0016,ghz,4,syntax,data/valid/circuit_0016_valid.qasm,data/buggy/circuit_0016_buggy.qasm,data/ground_truth/circuit_0016_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0017,ghz,7,structural,data/valid/circuit_0017_valid.qasm,data/buggy/circuit_0017_buggy.qasm,data/ground_truth/circuit_0017_ground_truth.qasm,Structural error: omitted h gate at instruction index 0
circuit_0018,ghz,7,gate_redundancy,data/valid/circuit_0018_valid.qasm,data/buggy/circuit_0018_buggy.qasm,data/ground_truth/circuit_0018_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 4
circuit_0019,ghz,3,semantic_deviation,data/valid/circuit_0019_valid.qasm,data/buggy/circuit_0019_buggy.qasm,data/ground_truth/circuit_0019_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0020,ghz,7,physics_violation,data/valid/circuit_0020_valid.qasm,data/buggy/circuit_0020_buggy.qasm,data/ground_truth/circuit_0020_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0021,ghz,4,syntax,data/valid/circuit_0021_valid.qasm,data/buggy/circuit_0021_buggy.qasm,data/ground_truth/circuit_0021_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0022,ghz,7,structural,data/valid/circuit_0022_valid.qasm,data/buggy/circuit_0022_buggy.qasm,data/ground_truth/circuit_0022_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0023,ghz,6,gate_redundancy,data/valid/circuit_0023_valid.qasm,data/buggy/circuit_0023_buggy.qasm,data/ground_truth/circuit_0023_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 2
circuit_0024,ghz,4,semantic_deviation,data/valid/circuit_0024_valid.qasm,data/buggy/circuit_0024_buggy.qasm,data/ground_truth/circuit_0024_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0025,ghz,6,physics_violation,data/valid/circuit_0025_valid.qasm,data/buggy/circuit_0025_buggy.qasm,data/ground_truth/circuit_0025_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0026,ghz,7,syntax,data/valid/circuit_0026_valid.qasm,data/buggy/circuit_0026_buggy.qasm,data/ground_truth/circuit_0026_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0027,ghz,5,structural,data/valid/circuit_0027_valid.qasm,data/buggy/circuit_0027_buggy.qasm,data/ground_truth/circuit_0027_ground_truth.qasm,Structural error: shifted h from qubit 0 to qubit 1
circuit_0028,ghz,3,gate_redundancy,data/valid/circuit_0028_valid.qasm,data/buggy/circuit_0028_buggy.qasm,data/ground_truth/circuit_0028_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 2
circuit_0029,ghz,4,semantic_deviation,data/valid/circuit_0029_valid.qasm,data/buggy/circuit_0029_buggy.qasm,data/ground_truth/circuit_0029_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0030,ghz,6,physics_violation,data/valid/circuit_0030_valid.qasm,data/buggy/circuit_0030_buggy.qasm,data/ground_truth/circuit_0030_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0031,ghz,5,syntax,data/valid/circuit_0031_valid.qasm,data/buggy/circuit_0031_buggy.qasm,data/ground_truth/circuit_0031_ground_truth.qasm,Syntax error: unclosed bracket on line 3
circuit_0032,ghz,5,structural,data/valid/circuit_0032_valid.qasm,data/buggy/circuit_0032_buggy.qasm,data/ground_truth/circuit_0032_ground_truth.qasm,Structural error: shifted h from qubit 0 to qubit 1
circuit_0033,ghz,4,gate_redundancy,data/valid/circuit_0033_valid.qasm,data/buggy/circuit_0033_buggy.qasm,data/ground_truth/circuit_0033_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 3
circuit_0034,ghz,4,semantic_deviation,data/valid/circuit_0034_valid.qasm,data/buggy/circuit_0034_buggy.qasm,data/ground_truth/circuit_0034_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0035,ghz,5,physics_violation,data/valid/circuit_0035_valid.qasm,data/buggy/circuit_0035_buggy.qasm,data/ground_truth/circuit_0035_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0036,ghz,3,syntax,data/valid/circuit_0036_valid.qasm,data/buggy/circuit_0036_buggy.qasm,data/ground_truth/circuit_0036_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0037,ghz,3,structural,data/valid/circuit_0037_valid.qasm,data/buggy/circuit_0037_buggy.qasm,data/ground_truth/circuit_0037_ground_truth.qasm,Structural error: omitted cx gate at instruction index 1
circuit_0038,ghz,6,gate_redundancy,data/valid/circuit_0038_valid.qasm,data/buggy/circuit_0038_buggy.qasm,data/ground_truth/circuit_0038_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 4
circuit_0039,ghz,3,semantic_deviation,data/valid/circuit_0039_valid.qasm,data/buggy/circuit_0039_buggy.qasm,data/ground_truth/circuit_0039_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0040,ghz,5,physics_violation,data/valid/circuit_0040_valid.qasm,data/buggy/circuit_0040_buggy.qasm,data/ground_truth/circuit_0040_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0041,ghz,5,syntax,data/valid/circuit_0041_valid.qasm,data/buggy/circuit_0041_buggy.qasm,data/ground_truth/circuit_0041_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0042,ghz,7,structural,data/valid/circuit_0042_valid.qasm,data/buggy/circuit_0042_buggy.qasm,data/ground_truth/circuit_0042_ground_truth.qasm,Structural error: shifted h from qubit 0 to qubit 1
circuit_0043,ghz,5,gate_redundancy,data/valid/circuit_0043_valid.qasm,data/buggy/circuit_0043_buggy.qasm,data/ground_truth/circuit_0043_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 4
circuit_0044,ghz,3,semantic_deviation,data/valid/circuit_0044_valid.qasm,data/buggy/circuit_0044_buggy.qasm,data/ground_truth/circuit_0044_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0045,ghz,6,physics_violation,data/valid/circuit_0045_valid.qasm,data/buggy/circuit_0045_buggy.qasm,data/ground_truth/circuit_0045_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0046,ghz,7,syntax,data/valid/circuit_0046_valid.qasm,data/buggy/circuit_0046_buggy.qasm,data/ground_truth/circuit_0046_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0047,ghz,3,structural,data/valid/circuit_0047_valid.qasm,data/buggy/circuit_0047_buggy.qasm,data/ground_truth/circuit_0047_ground_truth.qasm,Structural error: omitted cx gate at instruction index 2
circuit_0048,ghz,6,gate_redundancy,data/valid/circuit_0048_valid.qasm,data/buggy/circuit_0048_buggy.qasm,data/ground_truth/circuit_0048_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 0
circuit_0049,ghz,3,semantic_deviation,data/valid/circuit_0049_valid.qasm,data/buggy/circuit_0049_buggy.qasm,data/ground_truth/circuit_0049_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0050,ghz,7,physics_violation,data/valid/circuit_0050_valid.qasm,data/buggy/circuit_0050_buggy.qasm,data/ground_truth/circuit_0050_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0051,ghz,5,syntax,data/valid/circuit_0051_valid.qasm,data/buggy/circuit_0051_buggy.qasm,data/ground_truth/circuit_0051_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0052,ghz,7,structural,data/valid/circuit_0052_valid.qasm,data/buggy/circuit_0052_buggy.qasm,data/ground_truth/circuit_0052_ground_truth.qasm,Structural error: shifted h from qubit 0 to qubit 1
circuit_0053,ghz,5,gate_redundancy,data/valid/circuit_0053_valid.qasm,data/buggy/circuit_0053_buggy.qasm,data/ground_truth/circuit_0053_ground_truth.qasm,"Gate redundancy: inserted two duplicate consecutive CNOT gates on (0, 1)"
circuit_0054,ghz,7,semantic_deviation,data/valid/circuit_0054_valid.qasm,data/buggy/circuit_0054_buggy.qasm,data/ground_truth/circuit_0054_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0055,ghz,4,physics_violation,data/valid/circuit_0055_valid.qasm,data/buggy/circuit_0055_buggy.qasm,data/ground_truth/circuit_0055_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0056,ghz,3,syntax,data/valid/circuit_0056_valid.qasm,data/buggy/circuit_0056_buggy.qasm,data/ground_truth/circuit_0056_ground_truth.qasm,Syntax error: unclosed bracket on line 3
circuit_0057,ghz,3,structural,data/valid/circuit_0057_valid.qasm,data/buggy/circuit_0057_buggy.qasm,data/ground_truth/circuit_0057_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0058,ghz,4,gate_redundancy,data/valid/circuit_0058_valid.qasm,data/buggy/circuit_0058_buggy.qasm,data/ground_truth/circuit_0058_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 3
circuit_0059,ghz,5,semantic_deviation,data/valid/circuit_0059_valid.qasm,data/buggy/circuit_0059_buggy.qasm,data/ground_truth/circuit_0059_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0060,ghz,3,physics_violation,data/valid/circuit_0060_valid.qasm,data/buggy/circuit_0060_buggy.qasm,data/ground_truth/circuit_0060_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0061,ghz,4,syntax,data/valid/circuit_0061_valid.qasm,data/buggy/circuit_0061_buggy.qasm,data/ground_truth/circuit_0061_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0062,ghz,3,structural,data/valid/circuit_0062_valid.qasm,data/buggy/circuit_0062_buggy.qasm,data/ground_truth/circuit_0062_ground_truth.qasm,Structural error: omitted h gate at instruction index 0
circuit_0063,ghz,6,gate_redundancy,data/valid/circuit_0063_valid.qasm,data/buggy/circuit_0063_buggy.qasm,data/ground_truth/circuit_0063_ground_truth.qasm,"Gate redundancy: inserted two duplicate consecutive CNOT gates on (0, 1)"
circuit_0064,ghz,5,semantic_deviation,data/valid/circuit_0064_valid.qasm,data/buggy/circuit_0064_buggy.qasm,data/ground_truth/circuit_0064_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0065,ghz,6,physics_violation,data/valid/circuit_0065_valid.qasm,data/buggy/circuit_0065_buggy.qasm,data/ground_truth/circuit_0065_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0066,ghz,5,syntax,data/valid/circuit_0066_valid.qasm,data/buggy/circuit_0066_buggy.qasm,data/ground_truth/circuit_0066_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0067,ghz,4,structural,data/valid/circuit_0067_valid.qasm,data/buggy/circuit_0067_buggy.qasm,data/ground_truth/circuit_0067_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0068,ghz,5,gate_redundancy,data/valid/circuit_0068_valid.qasm,data/buggy/circuit_0068_buggy.qasm,data/ground_truth/circuit_0068_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 1
circuit_0069,ghz,5,semantic_deviation,data/valid/circuit_0069_valid.qasm,data/buggy/circuit_0069_buggy.qasm,data/ground_truth/circuit_0069_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0070,ghz,4,physics_violation,data/valid/circuit_0070_valid.qasm,data/buggy/circuit_0070_buggy.qasm,data/ground_truth/circuit_0070_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0071,ghz,5,syntax,data/valid/circuit_0071_valid.qasm,data/buggy/circuit_0071_buggy.qasm,data/ground_truth/circuit_0071_ground_truth.qasm,Syntax error: missing semicolon on line 3
circuit_0072,ghz,3,structural,data/valid/circuit_0072_valid.qasm,data/buggy/circuit_0072_buggy.qasm,data/ground_truth/circuit_0072_ground_truth.qasm,Structural error: omitted cx gate at instruction index 2
circuit_0073,ghz,7,gate_redundancy,data/valid/circuit_0073_valid.qasm,data/buggy/circuit_0073_buggy.qasm,data/ground_truth/circuit_0073_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 6
circuit_0074,ghz,4,semantic_deviation,data/valid/circuit_0074_valid.qasm,data/buggy/circuit_0074_buggy.qasm,data/ground_truth/circuit_0074_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0075,ghz,7,physics_violation,data/valid/circuit_0075_valid.qasm,data/buggy/circuit_0075_buggy.qasm,data/ground_truth/circuit_0075_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0076,ghz,4,syntax,data/valid/circuit_0076_valid.qasm,data/buggy/circuit_0076_buggy.qasm,data/ground_truth/circuit_0076_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0077,ghz,4,structural,data/valid/circuit_0077_valid.qasm,data/buggy/circuit_0077_buggy.qasm,data/ground_truth/circuit_0077_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0078,ghz,6,gate_redundancy,data/valid/circuit_0078_valid.qasm,data/buggy/circuit_0078_buggy.qasm,data/ground_truth/circuit_0078_ground_truth.qasm,"Gate redundancy: inserted two duplicate consecutive CNOT gates on (0, 1)"
circuit_0079,ghz,6,semantic_deviation,data/valid/circuit_0079_valid.qasm,data/buggy/circuit_0079_buggy.qasm,data/ground_truth/circuit_0079_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0080,ghz,5,physics_violation,data/valid/circuit_0080_valid.qasm,data/buggy/circuit_0080_buggy.qasm,data/ground_truth/circuit_0080_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0081,ghz,7,syntax,data/valid/circuit_0081_valid.qasm,data/buggy/circuit_0081_buggy.qasm,data/ground_truth/circuit_0081_ground_truth.qasm,Syntax error: missing semicolon on line 3
circuit_0082,ghz,4,structural,data/valid/circuit_0082_valid.qasm,data/buggy/circuit_0082_buggy.qasm,data/ground_truth/circuit_0082_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0083,ghz,5,gate_redundancy,data/valid/circuit_0083_valid.qasm,data/buggy/circuit_0083_buggy.qasm,data/ground_truth/circuit_0083_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 4
circuit_0084,ghz,3,semantic_deviation,data/valid/circuit_0084_valid.qasm,data/buggy/circuit_0084_buggy.qasm,data/ground_truth/circuit_0084_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0085,ghz,4,physics_violation,data/valid/circuit_0085_valid.qasm,data/buggy/circuit_0085_buggy.qasm,data/ground_truth/circuit_0085_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0086,ghz,3,syntax,data/valid/circuit_0086_valid.qasm,data/buggy/circuit_0086_buggy.qasm,data/ground_truth/circuit_0086_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0087,ghz,5,structural,data/valid/circuit_0087_valid.qasm,data/buggy/circuit_0087_buggy.qasm,data/ground_truth/circuit_0087_ground_truth.qasm,Structural error: shifted h from qubit 0 to qubit 1
circuit_0088,ghz,6,gate_redundancy,data/valid/circuit_0088_valid.qasm,data/buggy/circuit_0088_buggy.qasm,data/ground_truth/circuit_0088_ground_truth.qasm,"Gate redundancy: inserted two duplicate consecutive CNOT gates on (0, 1)"
circuit_0089,ghz,5,semantic_deviation,data/valid/circuit_0089_valid.qasm,data/buggy/circuit_0089_buggy.qasm,data/ground_truth/circuit_0089_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0090,ghz,3,physics_violation,data/valid/circuit_0090_valid.qasm,data/buggy/circuit_0090_buggy.qasm,data/ground_truth/circuit_0090_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0091,ghz,4,syntax,data/valid/circuit_0091_valid.qasm,data/buggy/circuit_0091_buggy.qasm,data/ground_truth/circuit_0091_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0092,ghz,7,structural,data/valid/circuit_0092_valid.qasm,data/buggy/circuit_0092_buggy.qasm,data/ground_truth/circuit_0092_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0093,ghz,5,gate_redundancy,data/valid/circuit_0093_valid.qasm,data/buggy/circuit_0093_buggy.qasm,data/ground_truth/circuit_0093_ground_truth.qasm,"Gate redundancy: inserted two duplicate consecutive CNOT gates on (0, 1)"
circuit_0094,ghz,4,semantic_deviation,data/valid/circuit_0094_valid.qasm,data/buggy/circuit_0094_buggy.qasm,data/ground_truth/circuit_0094_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0095,ghz,6,physics_violation,data/valid/circuit_0095_valid.qasm,data/buggy/circuit_0095_buggy.qasm,data/ground_truth/circuit_0095_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0096,ghz,6,syntax,data/valid/circuit_0096_valid.qasm,data/buggy/circuit_0096_buggy.qasm,data/ground_truth/circuit_0096_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0097,ghz,6,structural,data/valid/circuit_0097_valid.qasm,data/buggy/circuit_0097_buggy.qasm,data/ground_truth/circuit_0097_ground_truth.qasm,Structural error: omitted cx gate at instruction index 5
circuit_0098,ghz,4,gate_redundancy,data/valid/circuit_0098_valid.qasm,data/buggy/circuit_0098_buggy.qasm,data/ground_truth/circuit_0098_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 2
circuit_0099,ghz,5,semantic_deviation,data/valid/circuit_0099_valid.qasm,data/buggy/circuit_0099_buggy.qasm,data/ground_truth/circuit_0099_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0100,ghz,4,physics_violation,data/valid/circuit_0100_valid.qasm,data/buggy/circuit_0100_buggy.qasm,data/ground_truth/circuit_0100_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0101,ghz,4,syntax,data/valid/circuit_0101_valid.qasm,data/buggy/circuit_0101_buggy.qasm,data/ground_truth/circuit_0101_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0102,ghz,7,structural,data/valid/circuit_0102_valid.qasm,data/buggy/circuit_0102_buggy.qasm,data/ground_truth/circuit_0102_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0103,ghz,7,gate_redundancy,data/valid/circuit_0103_valid.qasm,data/buggy/circuit_0103_buggy.qasm,data/ground_truth/circuit_0103_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 3
circuit_0104,ghz,5,semantic_deviation,data/valid/circuit_0104_valid.qasm,data/buggy/circuit_0104_buggy.qasm,data/ground_truth/circuit_0104_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0105,ghz,7,physics_violation,data/valid/circuit_0105_valid.qasm,data/buggy/circuit_0105_buggy.qasm,data/ground_truth/circuit_0105_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0106,ghz,6,syntax,data/valid/circuit_0106_valid.qasm,data/buggy/circuit_0106_buggy.qasm,data/ground_truth/circuit_0106_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0107,ghz,7,structural,data/valid/circuit_0107_valid.qasm,data/buggy/circuit_0107_buggy.qasm,data/ground_truth/circuit_0107_ground_truth.qasm,Structural error: omitted h gate at instruction index 0
circuit_0108,ghz,6,gate_redundancy,data/valid/circuit_0108_valid.qasm,data/buggy/circuit_0108_buggy.qasm,data/ground_truth/circuit_0108_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling H gates on qubit 1
circuit_0109,ghz,5,semantic_deviation,data/valid/circuit_0109_valid.qasm,data/buggy/circuit_0109_buggy.qasm,data/ground_truth/circuit_0109_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0110,ghz,4,physics_violation,data/valid/circuit_0110_valid.qasm,data/buggy/circuit_0110_buggy.qasm,data/ground_truth/circuit_0110_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0111,ghz,4,syntax,data/valid/circuit_0111_valid.qasm,data/buggy/circuit_0111_buggy.qasm,data/ground_truth/circuit_0111_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0112,ghz,7,structural,data/valid/circuit_0112_valid.qasm,data/buggy/circuit_0112_buggy.qasm,data/ground_truth/circuit_0112_ground_truth.qasm,Structural error: omitted cx gate at instruction index 6
circuit_0113,ghz,6,gate_redundancy,data/valid/circuit_0113_valid.qasm,data/buggy/circuit_0113_buggy.qasm,data/ground_truth/circuit_0113_ground_truth.qasm,"Gate redundancy: inserted two duplicate consecutive CNOT gates on (0, 1)"
circuit_0114,ghz,3,semantic_deviation,data/valid/circuit_0114_valid.qasm,data/buggy/circuit_0114_buggy.qasm,data/ground_truth/circuit_0114_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0115,ghz,3,physics_violation,data/valid/circuit_0115_valid.qasm,data/buggy/circuit_0115_buggy.qasm,data/ground_truth/circuit_0115_ground_truth.qasm,Physics violation: uncalibrated gate delay of 1200us exceeds qubit T2 coherence limit (~150us)
circuit_0116,ghz,3,syntax,data/valid/circuit_0116_valid.qasm,data/buggy/circuit_0116_buggy.qasm,data/ground_truth/circuit_0116_ground_truth.qasm,Syntax error: unknown keyword 'qbit_invalid' on line 3
circuit_0117,ghz,4,structural,data/valid/circuit_0117_valid.qasm,data/buggy/circuit_0117_buggy.qasm,data/ground_truth/circuit_0117_ground_truth.qasm,Structural error: reversed control and target qubits on cx gate
circuit_0118,ghz,4,gate_redundancy,data/valid/circuit_0118_valid.qasm,data/buggy/circuit_0118_buggy.qasm,data/ground_truth/circuit_0118_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 2
circuit_0119,ghz,6,semantic_deviation,data/valid/circuit_0119_valid.qasm,data/buggy/circuit_0119_buggy.qasm,data/ground_truth/circuit_0119_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0120,ghz,7,physics_violation,data/valid/circuit_0120_valid.qasm,data/buggy/circuit_0120_buggy.qasm,data/ground_truth/circuit_0120_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
circuit_0121,ghz,3,syntax,data/valid/circuit_0121_valid.qasm,data/buggy/circuit_0121_buggy.qasm,data/ground_truth/circuit_0121_ground_truth.qasm,Syntax error: call to undefined gate 'unknown_quantum_op'
circuit_0122,ghz,6,structural,data/valid/circuit_0122_valid.qasm,data/buggy/circuit_0122_buggy.qasm,data/ground_truth/circuit_0122_ground_truth.qasm,Structural error: omitted cx gate at instruction index 5
circuit_0123,ghz,6,gate_redundancy,data/valid/circuit_0123_valid.qasm,data/buggy/circuit_0123_buggy.qasm,data/ground_truth/circuit_0123_ground_truth.qasm,Gate redundancy: inserted two consecutive self-canceling X gates on qubit 5
circuit_0124,ghz,7,semantic_deviation,data/valid/circuit_0124_valid.qasm,data/buggy/circuit_0124_buggy.qasm,data/ground_truth/circuit_0124_ground_truth.qasm,Semantic deviation: replaced h with x
circuit_0125,ghz,6,physics_violation,data/valid/circuit_0125_valid.qasm,data/buggy/circuit_0125_buggy.qasm,data/ground_truth/circuit_0125_ground_truth.qasm,"Physics violation: CNOT between non-connected physical qubits (0, 2) on FakeSherbrooke coupling graph"
